MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
4937	DULERA 100 MCG/13 GM	1246310	120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera]	1002293	formoterol / mometasone	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
4938	LORTAB 5-325 M1 EACH	857002	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet	214182	acetaminophen / hydrocodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
4939	FLUPHENAZINE25 MG/ML	859824	fluphenazine decanoate 25 MG/ML Injectable Solution	4496	fluphenazine	N05AB	PHENOTHIAZINES WITH PIPERAZINE STRUCTURE	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
4940	HUMULIN R100 UNITS/	311034	insulin, regular, human 100 UNT/ML Injectable Solution	253182	insulin, regular, human	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4941	HUMULIN R100 UNITS/	311034	insulin, regular, human 100 UNT/ML Injectable Solution	253182	insulin, regular, human	A10AC	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4942	HUMULIN R100 UNITS/	311034	insulin, regular, human 100 UNT/ML Injectable Solution	253182	insulin, regular, human	A10AD	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4943	HUMULIN R100 UNITS/	311034	insulin, regular, human 100 UNT/ML Injectable Solution	253182	insulin, regular, human	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4944	HUMULIN R100 UNITS/	311034	insulin, regular, human 100 UNT/ML Injectable Solution	253182	insulin, regular, human	A10AF	INSULINS AND ANALOGUES FOR INHALATION	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4945	DOLOPHINE HCL10 MG	864706	methadone hydrochloride 10 MG Oral Tablet	6813	methadone	N07BC	DRUGS USED IN OPIOID DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
4946	VALIUM 5MG TABLE5 MG	104700	diazepam 5 MG Oral Tablet [Valium]	3322	diazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
4947	PROZAC 20MG PUL20 MG	310385	fluoxetine 20 MG Oral Capsule	4493	fluoxetine	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
4948	ENDOCET 5-3251 EACH	1049221	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet	214183	acetaminophen / oxycodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
4949	PREDOT50 2	198148	prednisone 50 MG Oral Tablet	8640	prednisone	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
4950	PREDOT50 2	198148	prednisone 50 MG Oral Tablet	8640	prednisone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
4951	GLUCOTROL XL10 MG	865568	24 HR glipizide 10 MG Extended Release Oral Tablet [Glucotrol]	4821	glipizide	A10BB	SULFONYLUREAS	A10B	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4952	FERROUSUL325 ( 65 )	310325	ferrous sulfate 325 MG Oral Tablet	24947	ferrous sulfate	B03AA	IRON BIVALENT, ORAL PREPARATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
4953	OMEPRAZOLE10 MG	199119	omeprazole 10 MG Delayed Release Oral Capsule	7646	omeprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
4954	SYNTHROID75 MCG	966171	levothyroxine sodium 0.075 MG Oral Tablet [Synthroid]	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
4955	ZOFRAN8 MG	312086	ondansetron 8 MG Oral Tablet	26225	ondansetron	A04AA	SEROTONIN (5HT3) ANTAGONISTS	A04A	ANTIEMETICS AND ANTINAUSEANTS	A04	ANTIEMETICS AND ANTINAUSEANTS	A	ALIMENTARY TRACT AND METABOLISM
4956	ULORIC40 MG	834235	febuxostat 40 MG Oral Tablet	73689	febuxostat	M04AA	PREPARATIONS INHIBITING URIC ACID PRODUCTION	M04A	ANTIGOUT PREPARATIONS	M04	ANTIGOUT PREPARATIONS	M	MUSCULO-SKELETAL SYSTEM
4957	PROMETRIUM100 MG	262080	progesterone 100 MG Oral Capsule [Prometrium]	8727	progesterone	G03DA	PREGNEN (4) DERIVATIVES	G03D	PROGESTOGENS	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
4958	WELLBUTRIN XL150 M1	993541	24 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet	42347	bupropion	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
4959	FLORASTOR KIDS250 MG	751997	Saccharomyces boulardii lyo 250 MG Oral Powder	236782	Saccharomyces boulardii 250 MG Oral Powder	A07FA	ANTIDIARRHEAL MICROORGANISMS	A07F	ANTIDIARRHEAL MICROORGANISMS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
4960	CILOXAN5 ML	103943	ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan]	2551	ciprofloxacin	J01MA	FLUOROQUINOLONES	J01M	QUINOLONE ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
4961	CILOXAN5 ML	103943	ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan]	2551	ciprofloxacin	S01AE	FLUOROQUINOLONES	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
4962	CILOXAN5 ML	103943	ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan]	2551	ciprofloxacin	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
4963	CILOXAN5 ML	103943	ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan]	2551	ciprofloxacin	S03AA	ANTIINFECTIVES	S03A	ANTIINFECTIVES	S03	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	S	SENSORY ORGANS
4964	TOPROL *XL* 25M25 MG	866427	24 HR metoprolol succinate 25 MG Extended Release Oral Tablet	6918	metoprolol	C07AB	BETA BLOCKING AGENTS, SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
4965	LAMOTRIGINE25 MG	105019	lamotrigine 25 MG Oral Tablet [Lamictal]	28439	lamotrigine	N03AX	OTHER ANTIEPILEPTICS	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
4966	XENAZINE12.5 MG	805466	tetrabenazine 12.5 MG Oral Tablet [Xenazine]	10390	tetrabenazine	N07XX	OTHER NERVOUS SYSTEM DRUGS	N07X	OTHER NERVOUS SYSTEM DRUGS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
4967	ATIVAN 2MG TABLE2 MG	206828	lorazepam 2 MG Oral Tablet [Ativan]	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
4968	ACIDOPHILUS LA1 EACH	795709	Lactobacillus acidophilus 500000000 UNT Oral Capsule	6205	Lactobacillus acidophilus	A07FA	ANTIDIARRHEAL MICROORGANISMS	A07F	ANTIDIARRHEAL MICROORGANISMS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
4969	ALLEGRA-D1 TAB.SR .	997415	24 HR fexofenadine hydrochloride 180 MG / pseudoephedrine hydrochloride 240 MG Extended Release Oral Tablet	214565	fexofenadine / pseudoephedrine	R01BA	SYMPATHOMIMETICS	R01B	NASAL DECONGESTANTS FOR SYSTEMIC USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
4970	DIABETA2.5 MG	205875	glyburide 2.5 MG Oral Tablet [Diabeta]	4815	glyburide	A10BB	SULFONYLUREAS	A10B	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
4971	BANOPHEN25 M1	1092421	diphenhydramine hydrochloride 25 MG Oral Tablet [Banophen]	3498	diphenhydramine	D04AA	ANTIHISTAMINES FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
4972	BANOPHEN25 M1	1092421	diphenhydramine hydrochloride 25 MG Oral Tablet [Banophen]	3498	diphenhydramine	R06AA	AMINOALKYL ETHERS	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
4973	TRILEPTAL600 MG	262090	oxcarbazepine 600 MG Oral Tablet [Trileptal]	32624	oxcarbazepine	N03AF	CARBOXAMIDE DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
4974	INVEGA SUS156 MG/1 M	858055	1 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega]	679314	paliperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
4975	ZYPREXA 10MG TA10 MG	153048	olanzapine 10 MG Oral Tablet [Zyprexa]	61381	olanzapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
4976	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	A01AC	CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
4977	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
4978	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	C05AA	CORTICOSTEROIDS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
4979	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	D07AA	CORTICOSTEROIDS, WEAK (GROUP I)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
4980	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	D07XA	CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS	D07X	CORTICOSTEROIDS, OTHER COMBINATIONS	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
4981	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
4982	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	S01BA	CORTICOSTEROIDS, PLAIN	S01B	ANTIINFLAMMATORY AGENTS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
4983	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	S01CB	CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION	S01C	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
4984	CORTEF20 MG	208816	hydrocortisone 20 MG Oral Tablet [Cortef]	5492	hydrocortisone	S02BA	CORTICOSTEROIDS	S02B	CORTICOSTEROIDS	S02	OTOLOGICALS	S	SENSORY ORGANS
4985	TIMOPTIC 0.25%1 EACH	198283	Timolol 2.5 MG/ML Ophthalmic Solution	10600	Preservative-Free timolol 2.5 MG/ML Ophthalmic Solution	S01ED	BETA BLOCKING AGENTS	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
4986	NEUROC4001	105030	gabapentin 400 MG Oral Capsule [Neurontin]	25480	gabapentin	N02BF	GABAPENTINOIDS	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
4987	PEPCID AC20 M2	104094	famotidine 20 MG Oral Tablet [Pepcid]	4278	famotidine	A02BA	H2-RECEPTOR ANTAGONISTS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
4988	K-DUR20 ME1	1801294	Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
4989	K-DUR20 ME1	1801294	Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
4990	MERREM1 GM/VIAL	1722941	meropenem 1000 MG Injection [Merrem]	29561	meropenem 500 MG Injection	J01DH	CARBAPENEMS	J01D	OTHER BETA-LACTAM ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
4991	METHADONE 55 MG/5 ML	864761	methadone hydrochloride 1 MG/ML Oral Solution	6813	methadone	N07BC	DRUGS USED IN OPIOID DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
4992	SODIUM BICARBO650 MG	198861	sodium bicarbonate 650 MG Oral Tablet	36676	sodium bicarbonate	B05CB	SALT SOLUTIONS	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
4993	SODIUM BICARBO650 MG	198861	sodium bicarbonate 650 MG Oral Tablet	36676	sodium bicarbonate	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
4994	CARBIDOPA/LEV1 UDTAB	197445	carbidopa 25 MG / levodopa 250 MG Oral Tablet	103990	carbidopa / levodopa	N04BA	DOPA AND DOPA DERIVATIVES	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
4995	PULMICORT0.5 MG/2 M	351109	budesonide 0.25 MG/ML Inhalation Suspension	19831	budesonide	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
4996	PULMICORT0.5 MG/2 M	351109	budesonide 0.25 MG/ML Inhalation Suspension	19831	budesonide	D07AC	CORTICOSTEROIDS, POTENT (GROUP III)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
4997	PULMICORT0.5 MG/2 M	351109	budesonide 0.25 MG/ML Inhalation Suspension	19831	budesonide	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
4998	PULMICORT0.5 MG/2 M	351109	budesonide 0.25 MG/ML Inhalation Suspension	19831	budesonide	R03BA	GLUCOCORTICOIDS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
4999	LASIIV104	282452	Furosemide 10 MG/ML Injectable Solution	4603	10 ML furosemide 10 MG/ML Injection	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
5000	SYMBICORT 16010.2 GM	1246306	120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort]	389132	budesonide / formoterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5001	HECTOROL0.5 MCG	540687	doxercalciferol 0.0005 MG Oral Capsule [Hectorol]	11516	doxercalciferol	H05BX	OTHER ANTI-PARATHYROID AGENTS	H05B	ANTI-PARATHYROID AGENTS	H05	CALCIUM HOMEOSTASIS	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
5002	LOPERAMIDE2 MG	978006	loperamide hydrochloride 2 MG Oral Capsule	6468	loperamide	A07DA	ANTIPROPULSIVES	A07D	ANTIPROPULSIVES	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
5003	BRINTELLIX20 MG	1439838	vortioxetine 20 MG Oral Tablet [Brintellix]	1455099	vortioxetine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5004	PROVENTIL HFA8 GM	745679	200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler	435	albuterol	R03CC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03C	ADRENERGICS FOR SYSTEMIC USE	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5005	ASPIRIN EC325 MG	198467	aspirin 325 MG Delayed Release Oral Tablet	1191	aspirin	A01AD	OTHER AGENTS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
5006	ASPIRIN EC325 MG	198467	aspirin 325 MG Delayed Release Oral Tablet	1191	aspirin	B01AC	PLATELET AGGREGATION INHIBITORS EXCL. HEPARIN	B01A	ANTITHROMBOTIC AGENTS	B01	ANTITHROMBOTIC AGENTS	B	BLOOD AND BLOOD FORMING ORGANS
5007	ASPIRIN EC325 MG	198467	aspirin 325 MG Delayed Release Oral Tablet	1191	aspirin	N02BA	SALICYLIC ACID AND DERIVATIVES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
5008	TESSALON PERLE100 MG	208365	benzonatate 100 MG Oral Capsule [Tessalon Perles]	18993	benzonatate	R05DB	OTHER COUGH SUPPRESSANTS	R05D	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	R05	COUGH AND COLD PREPARATIONS	R	RESPIRATORY SYSTEM
5009	NICODERM 14MG/214 MG	351427	24 HR nicotine 0.583 MG/HR Transdermal System [Nicoderm C-Q]	7407	nicotine	N07BA	DRUGS USED IN NICOTINE DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
5010	ATORVASTATIN CA20 MG	617310	atorvastatin 20 MG Oral Tablet	83367	atorvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5011	PRAVACHOL80 MG	904481	pravastatin sodium 80 MG Oral Tablet	42463	pravastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5012	CATAPRES T0.3 MG/PAT	998681	168 HR clonidine 0.0125 MG/HR Transdermal System [Catapres]	2599	clonidine	C02AC	IMIDAZOLINE RECEPTOR AGONISTS	C02A	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
5013	CATAPRES T0.3 MG/PAT	998681	168 HR clonidine 0.0125 MG/HR Transdermal System [Catapres]	2599	clonidine	N02CX	OTHER ANTIMIGRAINE PREPARATIONS	N02C	ANTIMIGRAINE PREPARATIONS	N02	ANALGESICS	N	NERVOUS SYSTEM
5014	CATAPRES T0.3 MG/PAT	998681	168 HR clonidine 0.0125 MG/HR Transdermal System [Catapres]	2599	clonidine	S01EA	SYMPATHOMIMETICS IN GLAUCOMA THERAPY	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
5015	FOLBIC TABLET1 EACH	644794	folic acid 2.5 MG / vitamin B12 2 MG / vitamin B6 25 MG Oral Tablet [Folbic]	1008064	folic acid / vitamin B12 / vitamin B6	B03BA	VITAMIN B12 (CYANOCOBALAMIN AND ANALOGUES)	B03B	VITAMIN B12 AND FOLIC ACID	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
5016	SYNTHROID200 MCG	966251	levothyroxine sodium 0.2 MG Oral Tablet [Synthroid]	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
5017	FLONASE9 GM	896323	120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler [Flonase]	41126	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Flonase]	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
5018	NORCO 5-325 TA1 EACH	857002	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet	214182	acetaminophen / hydrocodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
5019	DULCOLAX10 MG	209601	bisacodyl 10 MG Rectal Suppository [Dulcolax]	1596	bisacodyl	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
5020	DULCOLAX10 MG	209601	bisacodyl 10 MG Rectal Suppository [Dulcolax]	1596	bisacodyl	A06AG	ENEMAS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
5021	QUETIAPINE FUMA25 MG	153638	quetiapine 25 MG Oral Tablet [Seroquel]	51272	quetiapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5022	ADVAIR 500/501 DISK	896222	14 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]	284635	fluticasone / salmeterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5023	TRILEPTAL 300M300 MG	312137	oxcarbazepine 300 MG Oral Tablet	32624	oxcarbazepine	N03AF	CARBOXAMIDE DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
